question,answer
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, गाजा युद्ध (2023–), अफगानिस्तान में युद्ध (2001–2021), पोइटियर्स का युद्ध","पोइटियर्स का युद्ध, मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, अफगानिस्तान में युद्ध (2001–2021), गाजा युद्ध (2023–)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: रूस-यूक्रेनी युद्ध, कोसोवो युद्ध, मोहाक का युद्ध, स्वेज संकट, प्रथम नागोर्नो-काराबाख युद्ध","मोहाक का युद्ध, स्वेज संकट, प्रथम नागोर्नो-काराबाख युद्ध, कोसोवो युद्ध, रूस-यूक्रेनी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: टूर्स का युद्ध, योम किप्पुर युद्ध, प्लाटिया का युद्ध, खाड़ी युद्ध, मोहाक का युद्ध","प्लाटिया का युद्ध, टूर्स का युद्ध, मोहाक का युद्ध, योम किप्पुर युद्ध, खाड़ी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रशांत का युद्ध, खाड़ी युद्ध, रूस पर फ्रांसीसी आक्रमण, स्टैमफोर्ड ब्रिज का युद्ध, इस्सस का युद्ध","इस्सस का युद्ध, स्टैमफोर्ड ब्रिज का युद्ध, रूस पर फ्रांसीसी आक्रमण, प्रशांत का युद्ध, खाड़ी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध, कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध","कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध, कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इस्सस का युद्ध, मॉस्को का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, कुलिकोवो का युद्ध","इस्सस का युद्ध, कुलिकोवो का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, मॉस्को का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कर्बला का युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, काबुल का पतन, प्लाटिया का युद्ध, वियना का युद्ध","प्लाटिया का युद्ध, कर्बला का युद्ध, वियना का युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, काबुल का पतन"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्लासी का युद्ध, ऐन जलुत का युद्ध, थर्मोपाइले का युद्ध, प्लाटिया का युद्ध, उहुद का युद्ध","थर्मोपाइले का युद्ध, प्लाटिया का युद्ध, उहुद का युद्ध, ऐन जलुत का युद्ध, प्लासी का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: स्टैमफोर्ड ब्रिज का युद्ध, काबुल का पतन, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, वर्ना का युद्ध","स्टैमफोर्ड ब्रिज का युद्ध, वर्ना का युद्ध, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, काबुल का पतन"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: 1948 फिलिस्तीन युद्ध, थर्मोपाइले का युद्ध, मैराथन का युद्ध, टुटोबर्ग वन का युद्ध, सात वर्षीय युद्ध","मैराथन का युद्ध, थर्मोपाइले का युद्ध, टुटोबर्ग वन का युद्ध, सात वर्षीय युद्ध, 1948 फिलिस्तीन युद्ध"
