question,answer,bloom_answer,bloom_detected,similarity,adaptive_detected,confidence
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, गाजा युद्ध (2023–), अफगानिस्तान में युद्ध (2001–2021), पोइटियर्स का युद्ध","पोइटियर्स का युद्ध, मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, अफगानिस्तान में युद्ध (2001–2021), गाजा युद्ध (2023–)","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, गाजा युद्ध (2023–), अफगानिस्तान में युद्ध (2001",True,0.305098295211792,False,0.10339178484242528
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: रूस-यूक्रेनी युद्ध, कोसोवो युद्ध, मोहाक का युद्ध, स्वेज संकट, प्रथम नागोर्नो-काराबाख युद्ध","मोहाक का युद्ध, स्वेज संकट, प्रथम नागोर्नो-काराबाख युद्ध, कोसोवो युद्ध, रूस-यूक्रेनी युद्ध",आज कोसोवो युद्ध का आरंभ हुआ। रूस ने रूस की ओर से की गई लड़ाई को रोकने के लिए वॉलेट पर अपना नियंत्रण बनाया। यूक्रेनी सेना को रोकने के लिए युद्ध का,False,0.2500016788641612,False,0.04829516849479448
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: टूर्स का युद्ध, योम किप्पुर युद्ध, प्लाटिया का युद्ध, खाड़ी युद्ध, मोहाक का युद्ध","प्लाटिया का युद्ध, टूर्स का युद्ध, मोहाक का युद्ध, योम किप्पुर युद्ध, खाड़ी युद्ध",1. प्रथम विश्व युद्ध में विश्व का सबसे बड़ा युद्ध हुआ था। इस युद्ध में कई देशों ने भाग लिया। भारत के इतिहास में इस युद्ध में सबसे बड़े योगदान देने वाले देश चीन का नाम सामने,False,0.05430130288004875,True,0.14740520748931796
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रशांत का युद्ध, खाड़ी युद्ध, रूस पर फ्रांसीसी आक्रमण, स्टैमफोर्ड ब्रिज का युद्ध, इस्सस का युद्ध","इस्सस का युद्ध, स्टैमफोर्ड ब्रिज का युद्ध, रूस पर फ्रांसीसी आक्रमण, प्रशांत का युद्ध, खाड़ी युद्ध","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध, युद्ध",True,0.29588814576466876,False,0.09418163539530205
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध, कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध","कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध, कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध",1. कौन सा देश चीन के दक्षिण में स्थित है? उत्तर: चीन उत्तर चीन सागर में स्थित है। उत्तर भारत का उत्तर भारत का क्षेत्र उत्तर भारत का क्षेत्र उत्तर भारत का क्षेत्र उत्तर भारत का,True,0.20065630475680032,True,0.001050205612566385
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इस्सस का युद्ध, मॉस्को का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, कुलिकोवो का युद्ध","इस्सस का युद्ध, कुलिकोवो का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, मॉस्को का युद्ध","यह एक और प्रश्न है। यह प्रश्न क्या आप उत्तर देने के लिए तैयार हैं? यदि हां, तो इसे आगे का प्रश्न कहा जाए।
उत्तर: यह एक और प्रश्न है। यह प्रश्न क्या आप",True,0.10948659479618073,True,0.09221991557318598
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कर्बला का युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, काबुल का पतन, प्लाटिया का युद्ध, वियना का युद्ध","प्लाटिया का युद्ध, कर्बला का युद्ध, वियना का युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, काबुल का पतन","1. “पेरिस के बाद, लंदन का पतन” का उल्लेख करना चाहिए, क्योंकि लंदन, पेपैल, लंदन, लंदन, लंदन, लंदन, लंदन, लंदन, लंदन, लंदन",True,0.2973848680655162,False,0.09567835769614946
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्लासी का युद्ध, ऐन जलुत का युद्ध, थर्मोपाइले का युद्ध, प्लाटिया का युद्ध, उहुद का युद्ध","थर्मोपाइले का युद्ध, प्लाटिया का युद्ध, उहुद का युद्ध, ऐन जलुत का युद्ध, प्लासी का युद्ध","एक पीलिया के लक्षण को कालानुक्रमिक क्रम में व्यवस्थित करें: सूजन, दर्द, खुजली, सूजन, दर्द, खुजली, सूजन, दर्द,",True,0.21669078866640726,False,0.014984278297040549
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: स्टैमफोर्ड ब्रिज का युद्ध, काबुल का पतन, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, वर्ना का युद्ध","स्टैमफोर्ड ब्रिज का युद्ध, वर्ना का युद्ध, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, काबुल का पतन",प्रथम दो घटनाओं को क्रम में व्यवस्थित करें। दूसरी घटना को क्रम में व्यवस्थित करें। प्रत्येक घटना को उसके समय secuencia में व्यवस्थित करें।,True,0.1686538445452849,True,0.03305266582408181
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: 1948 फिलिस्तीन युद्ध, थर्मोपाइले का युद्ध, मैराथन का युद्ध, टुटोबर्ग वन का युद्ध, सात वर्षीय युद्ध","मैराथन का युद्ध, थर्मोपाइले का युद्ध, टुटोबर्ग वन का युद्ध, सात वर्षीय युद्ध, 1948 फिलिस्तीन युद्ध",उत्तर प्रदेश में आज दिनांक 24/02/2021 को उत्तर प्रदेश में कोरोना वायरस के नए स्ट्रेन के कारण हुई मौतों की संख्या बढ़कर 4274 हो गई है। वहीं कोरोना वायरस के नए स्ट्रेन के,True,0.44792884588241577,False,0.24622233551304906
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पोलिश-सोवियत युद्ध, मान्ज़िकर्ट का युद्ध, अफगानिस्तान में युद्ध (2001–2021), फ़ॉकलैंड युद्ध, वियना का युद्ध","मान्ज़िकर्ट का युद्ध, वियना का युद्ध, पोलिश-सोवियत युद्ध, फ़ॉकलैंड युद्ध, अफगानिस्तान में युद्ध (2001–2021)","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: अमरीका-सोवियत युद्ध, अमरीका और रूस की युद्ध, रूस का युद्ध, यूक्रेन की युद्ध, रूस और अमरीका की युद्ध",True,0.436844805876414,False,0.2351382955070473
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण","पेलोपोनेसियन युद्ध, प्लाटिया का युद्ध, रूस पर फ्रांसीसी आक्रमण, ऑस्ट्रो-प्रशियाई युद्ध, दूसरा नागोर्नो-काराबाख युद्ध","1. पहला नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण",True,0.03141814097762108,True,0.17028836939174563
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इराक युद्ध, सोवियत-अफगान युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, अंकारा का युद्ध","अंकारा का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, सोवियत-अफगान युद्ध, इराक युद्ध",भारत ने अफगानिस्तान पर हमला किया था और अफगानिस्तान ने भारत को पीछे धकेल दिया था। अफगानिस्तान ने भारत पर हमला करके भारत को पीछे धकेल दिया था। अफगानिस्तान ने भारत पर हमला करके भारत को,True,0.2320857954521974,False,0.030379285082830693
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: निकोपोलिस का युद्ध, टुटोबर्ग वन का युद्ध, दूसरा बोअर युद्ध, मोहाक का युद्ध, बद्र का युद्ध","टुटोबर्ग वन का युद्ध, बद्र का युद्ध, निकोपोलिस का युद्ध, मोहाक का युद्ध, दूसरा बोअर युद्ध","यदि आप इस प्रश्न के उत्तर का विश्लेषण करते हैं तो यह एक ऐसे प्रश्न का जवाब है, जो केवल कालानुक्रमिक क्रम में ही संभव है।",True,0.18348009387652078,True,0.018226416492845926
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुलिकोवो का युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध","क्रेसी का युद्ध, कुलिकोवो का युद्ध, प्रथम अफीम युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध","1. इस प्रकार के प्रश्नों को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, क्रेसी का युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध",True,0.5665803750356039,False,0.36487386466623717
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), दूसरा बाल्कन युद्ध, यूक्रेन पर रूसी आक्रमण, ईरान-इराक युद्ध, सौ साल का युद्ध","सौ साल का युद्ध, दूसरा बाल्कन युद्ध, ईरान-इराक युद्ध, यूक्रेन पर रूसी आक्रमण, गाजा युद्ध (2023–)","1. उत्तर प्रदेश में हुए दंगों से जुड़े तथाकथित धार्मिक भावनाओं के खिलाफ होने वाली हिंसा का उल्लेख करते हुए क्या कहा है?
उत्तर: 2. उत्तर प्रदेश में हुए दंगों से जुड़े",True,0.2474801503121853,False,0.04577363994281858
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, ज़ामा का युद्ध, लिटिल बिघोर्न का युद्ध, प्रथम अफीम युद्ध","ज़ामा का युद्ध, प्रथम अफीम युद्ध, लिटिल बिघोर्न का युद्ध, सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध","1. रूस की अर्थव्यवस्था पर विश्वास नहीं किया जा सकता, क्योंकि वह एक स्वतंत्र राष्ट्र है। 2. रूस के एक प्रमुख वित्तीय संस्थान का गठन करना आवश्यक है, जिसमें रूस के मुद्रा और वित्तीय साध",True,0.22665946433941522,False,0.024952953970048514
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: हेस्टिंग्स का युद्ध, खाई का युद्ध, प्रथम इंडोचीन युद्ध, मॉस्को का युद्ध, ईरान-इराक युद्ध","खाई का युद्ध, हेस्टिंग्स का युद्ध, मॉस्को का युद्ध, प्रथम इंडोचीन युद्ध, ईरान-इराक युद्ध",पहले इंडोचीन युद्ध का इतिहास (18वीं शताब्दी) तथा दूसरी युद्ध (19वीं शताब्दी) के बीच ही हुआ था। दूसरी युद्ध की तुलना में पहले इंडोचीन युद्ध की तुलना में यह,True,0.6088862617810568,False,0.40717975141169005
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), पोलिश-सोवियत युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, प्रशांत का युद्ध","प्रशांत का युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, पोलिश-सोवियत युद्ध, गाजा युद्ध (2023–)","उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर।",True,0.2574836437900861,False,0.05577713342071938
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध","मैराथन का युद्ध, दूसरा पुनिक युद्ध, कारहे का युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, ब्लैक जनवरी","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध",True,0.3213035712639491,False,0.11959706089458239
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैराथन का युद्ध","मैराथन का युद्ध, बद्र का युद्ध, सौ साल का युद्ध, ऑस्टरलिट्ज़ का युद्ध, प्रथम चीन-जापानी युद्ध","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैर",True,0.6706552505493164,False,0.4689487401799497
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गुलाब के युद्ध, क्रीमियाई युद्ध, जेना-ऑरस्टेड का युद्ध, रूस-यूक्रेनी युद्ध, कारहे का युद्ध","कारहे का युद्ध, गुलाब के युद्ध, जेना-ऑरस्टेड का युद्ध, क्रीमियाई युद्ध, रूस-यूक्रेनी युद्ध","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: युद्ध, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति, क्रांति",True,0.41325855255126953,False,0.21155204218190282
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: वर्ना का युद्ध, कुलिकोवो का युद्ध, 1948 फिलिस्तीन युद्ध, ईरान-इजरायल युद्ध, रूस-यूक्रेनी युद्ध","कुलिकोवो का युद्ध, वर्ना का युद्ध, 1948 फिलिस्तीन युद्ध, रूस-यूक्रेनी युद्ध, ईरान-इजरायल युद्ध","1. कोई व्यक्ति जो अपने परिवार और समाज से संबंधित किसी भी प्रकार का तनाव को दूर करने के लिए एक ऐसा कार्य करता है जो उसे अधिक संतुष्ट करता है, वह व्यक्ति है जो अपनी जीवन",True,0.12126923600832622,True,0.08043727436104049
