,question,answer,bloom_answer,bloom_detected,similarity,adaptive_detected,confidence,error_type
2,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: टूर्स का युद्ध, योम किप्पुर युद्ध, प्लाटिया का युद्ध, खाड़ी युद्ध, मोहाक का युद्ध","प्लाटिया का युद्ध, टूर्स का युद्ध, मोहाक का युद्ध, योम किप्पुर युद्ध, खाड़ी युद्ध",1. प्रथम विश्व युद्ध में विश्व का सबसे बड़ा युद्ध हुआ था। इस युद्ध में कई देशों ने भाग लिया। भारत के इतिहास में इस युद्ध में सबसे बड़े योगदान देने वाले देश चीन का नाम सामने,False,0.0543013028800487,True,0.1474052074893179,Factual Error
4,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध, कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध","कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध, कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध",1. कौन सा देश चीन के दक्षिण में स्थित है? उत्तर: चीन उत्तर चीन सागर में स्थित है। उत्तर भारत का उत्तर भारत का क्षेत्र उत्तर भारत का क्षेत्र उत्तर भारत का क्षेत्र उत्तर भारत का,True,0.2006563047568003,True,0.0010502056125663,Fabrication
5,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इस्सस का युद्ध, मॉस्को का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, कुलिकोवो का युद्ध","इस्सस का युद्ध, कुलिकोवो का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, मॉस्को का युद्ध","यह एक और प्रश्न है। यह प्रश्न क्या आप उत्तर देने के लिए तैयार हैं? यदि हां, तो इसे आगे का प्रश्न कहा जाए।
उत्तर: यह एक और प्रश्न है। यह प्रश्न क्या आप",True,0.1094865947961807,True,0.0922199155731859,Fabrication
8,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: स्टैमफोर्ड ब्रिज का युद्ध, काबुल का पतन, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, वर्ना का युद्ध","स्टैमफोर्ड ब्रिज का युद्ध, वर्ना का युद्ध, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, काबुल का पतन",प्रथम दो घटनाओं को क्रम में व्यवस्थित करें। दूसरी घटना को क्रम में व्यवस्थित करें। प्रत्येक घटना को उसके समय secuencia में व्यवस्थित करें।,True,0.1686538445452849,True,0.0330526658240818,Incomplete
11,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण","पेलोपोनेसियन युद्ध, प्लाटिया का युद्ध, रूस पर फ्रांसीसी आक्रमण, ऑस्ट्रो-प्रशियाई युद्ध, दूसरा नागोर्नो-काराबाख युद्ध","1. पहला नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण",True,0.031418140977621,True,0.1702883693917456,Incomplete
13,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: निकोपोलिस का युद्ध, टुटोबर्ग वन का युद्ध, दूसरा बोअर युद्ध, मोहाक का युद्ध, बद्र का युद्ध","टुटोबर्ग वन का युद्ध, बद्र का युद्ध, निकोपोलिस का युद्ध, मोहाक का युद्ध, दूसरा बोअर युद्ध","यदि आप इस प्रश्न के उत्तर का विश्लेषण करते हैं तो यह एक ऐसे प्रश्न का जवाब है, जो केवल कालानुक्रमिक क्रम में ही संभव है।",True,0.1834800938765207,True,0.0182264164928459,Fabrication
22,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: वर्ना का युद्ध, कुलिकोवो का युद्ध, 1948 फिलिस्तीन युद्ध, ईरान-इजरायल युद्ध, रूस-यूक्रेनी युद्ध","कुलिकोवो का युद्ध, वर्ना का युद्ध, 1948 फिलिस्तीन युद्ध, रूस-यूक्रेनी युद्ध, ईरान-इजरायल युद्ध","1. कोई व्यक्ति जो अपने परिवार और समाज से संबंधित किसी भी प्रकार का तनाव को दूर करने के लिए एक ऐसा कार्य करता है जो उसे अधिक संतुष्ट करता है, वह व्यक्ति है जो अपनी जीवन",True,0.1212692360083262,True,0.0804372743610404,Fabrication
24,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पूर्वी मोर्चा, रूस-यूक्रेनी युद्ध, लिटिल बिघोर्न का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, वाटरलू का युद्ध","वाटरलू का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, लिटिल बिघोर्न का युद्ध, पूर्वी मोर्चा, रूस-यूक्रेनी युद्ध",उत्तर प्रदेश में आज और कल होने वाले विधानसभा चुनाव का विश्लेषण करें। आज वोटिंग का समय है। आज के समय में वोटिंग को लेकर एक ही विषय पर चर्चा होनी चाहिए। आज जो कुछ,True,0.1338399321151276,True,0.067866578254239,Fabrication
26,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सौ साल का युद्ध, पोल्टावा का युद्ध, पर्ल हार्बर पर हमला, रूस पर फ्रांसीसी आक्रमण, कुलिकोवो का युद्ध","कुलिकोवो का युद्ध, सौ साल का युद्ध, पोल्टावा का युद्ध, रूस पर फ्रांसीसी आक्रमण, पर्ल हार्बर पर हमला","1. कर्नल लियास के साथ मार्टिना की पहली मुलाकात, जो कि मार्टिना की प्रेमिका से हुई थी, जो कि मार्टिना की प्रेमिका से हुई थी.",True,0.1082224330554405,True,0.0934840773139261,Fabrication
28,"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोरियाई युद्ध, योम किप्पुर युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, छह-दिवसीय युद्ध, वाटरलू का युद्ध","ऑस्ट्रियाई उत्तराधिकार का युद्ध, वाटरलू का युद्ध, कोरियाई युद्ध, छह-दिवसीय युद्ध, योम किप्पुर युद्ध",उत्तर प्रदेश में उत्तर प्रदेश राज्य की राजधानी लखनऊ के पास स्थित उत्तर प्रदेश में उत्तर प्रदेश राज्य की राजधानी लखनऊ के पास स्थित एक प्राचीन ऐतिहासिक स्थल है। उत्तर प्रदेश में उत्तर प्रदेश राज्य की राजधानी लखनऊ के,True,0.1085953215758005,True,0.0931111887935661,Fabrication
