question,gemini_answer
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैक्सिकन-अमेरिकी युद्ध, दूसरा बाल्कन युद्ध, गाजा युद्ध (2023–), अफगानिस्तान में युद्ध (2001–2021), पोइटियर्स का युद्ध","इन घटनाओं का सही कालानुक्रमिक क्रम (पुराने से नए की ओर) इस प्रकार है:

1.  **पोइटियर्स का युद्ध (732 ईस्वी):** यह युद्ध उमय्यद खिलाफत और फ्रैंकिश सेनाओं के बीच लड़ा गया था। (इसे टूर्स का युद्ध भी कहा जाता है)।
2.  **मैक्सिकन-अमेरिकी युद्ध (1846–1848):** यह संयुक्त राज्य अमेरिका और मेक्सिको के बीच क्षेत्रीय विवादों को लेकर लड़ा गया युद्ध था।
3.  **दूसरा बाल्कन युद्ध (1913):** यह युद्ध बुल्गारिया और उसके पूर्व सहयोगियों (सर्बिया और ग्रीस) के बीच क्षेत्रों के बंटवारे को लेकर हुआ था।
4.  **अफगानिस्तान में युद्ध (2001–2021):** 9/11 के हमलों के बाद अमेरिका के नेतृत्व वाले गठबंधन द्वारा शुरू किया गया युद्ध, जो 2021 में अमेरिकी सेना की वापसी के साथ समाप्त हुआ।
5.  **गाजा युद्ध (2023–वर्तमान):** यह हमास और इजरायल के बीच अक्टूबर 2023 में शुरू हुआ संघर्ष है, जो वर्तमान में भी जारी है।

**संक्षेप में क्रम:**
पोइटियर्स का युद्ध (732) → मैक्सिकन-अमेरिकी युद्ध (1846) → दूसरा बाल्कन युद्ध (1913) → अफगानिस्तान में युद्ध (2001) → गाजा युद्ध (2023)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: रूस-यूक्रेनी युद्ध, कोसोवो युद्ध, मोहाक का युद्ध, स्वेज संकट, प्रथम नागोर्नो-काराबाख युद्ध",ERROR
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: टूर्स का युद्ध, योम किप्पुर युद्ध, प्लाटिया का युद्ध, खाड़ी युद्ध, मोहाक का युद्ध","इन घटनाओं का सही कालानुक्रमिक क्रम (पुराने से नए की ओर) इस प्रकार है:

1.  **प्लाटिया का युद्ध (Battle of Plataea) - 479 ईसा पूर्व:** यह फारसी युद्धों के दौरान यूनानी नगर-राज्यों और फारस के बीच लड़ा गया था।
2.  **टूर्स का युद्ध (Battle of Tours) - 732 ईस्वी:** यह युद्ध चार्ल्स मार्टेल के नेतृत्व वाली फ्रैंकिश सेना और उमय्यद खिलाफत के बीच लड़ा गया था।
3.  **मोहाक का युद्ध (Battle of Mohács) - 1526 ईस्वी:** यह युद्ध हंगरी साम्राज्य और ओटोमन साम्राज्य के बीच लड़ा गया था।
4.  **योम किप्पुर युद्ध (Yom Kippur War) - 1973 ईस्वी:** यह इजरायल और अरब देशों (मुख्य रूप से मिस्र और सीरिया) के गठबंधन के बीच लड़ा गया था।
5.  **खाड़ी युद्ध (Gulf War) - 1990-1991 ईस्वी:** यह इराक द्वारा कुवैत पर आक्रमण के बाद शुरू हुआ अंतरराष्ट्रीय सैन्य संघर्ष था।

**संक्षेप में क्रम:**
प्लाटिया का युद्ध (479 ईसा पूर्व) → टूर्स का युद्ध (732 ईस्वी) → मोहाक का युद्ध (1526 ईस्वी) → योम किप्पुर युद्ध (1973 ईस्वी) → खाड़ी युद्ध (1990-91 ईस्वी)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रशांत का युद्ध, खाड़ी युद्ध, रूस पर फ्रांसीसी आक्रमण, स्टैमफोर्ड ब्रिज का युद्ध, इस्सस का युद्ध","इन घटनाओं का सही कालानुक्रमिक (Chronological) क्रम निम्नलिखित है:

1.  **इस्सस का युद्ध (Battle of Issus):** 333 ईसा पूर्व (सिकंदर महान और फारस के राजा डेरियस III के बीच)।
2.  **स्टैमफोर्ड ब्रिज का युद्ध (Battle of Stamford Bridge):** 1066 ईस्वी (इंग्लैंड में वाइकिंग युग की समाप्ति के रूप में जाना जाता है)।
3.  **रूस पर फ्रांसीसी आक्रमण (French invasion of Russia):** 1812 ईस्वी (नेपोलियन बोनापार्ट के नेतृत्व में)।
4.  **प्रशांत का युद्ध (War in the Pacific):** 1941–1945 ईस्वी (द्वितीय विश्व युद्ध का एक प्रमुख हिस्सा)।
5.  **खाड़ी युद्ध (Gulf War):** 1990–1991 ईस्वी (इराक और अमेरिका के नेतृत्व वाली गठबंधन सेना के बीच)।"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोसोवो का युद्ध, दूसरा बोअर युद्ध, इराक युद्ध, कैटालोनियन मैदानों का युद्ध, बद्र का युद्ध","इन ऐतिहासिक घटनाओं का सही कालानुक्रमिक क्रम (सबसे पुरानी से सबसे नई) इस प्रकार है:

1.  **कैटालोनियन मैदानों का युद्ध (Battle of the Catalaunian Plains):** 451 ईस्वी (यह रोमन साम्राज्य और हूणों के बीच लड़ा गया था)।
2.  **बद्र का युद्ध (Battle of Badr):** 624 ईस्वी (यह इस्लाम के प्रारंभिक इतिहास की एक प्रमुख लड़ाई थी)।
3.  **कोसोवो का युद्ध (Battle of Kosovo):** 1389 ईस्वी (यह सर्बियाई सेना और ऑटोमन साम्राज्य के बीच लड़ा गया था)।
4.  **दूसरा बोअर युद्ध (Second Boer War):** 1899–1902 ईस्वी (यह ब्रिटिश साम्राज्य और दक्षिण अफ्रीका के बोअर राज्यों के बीच हुआ था)।
5.  **इराक युद्ध (Iraq War):** 2003 ईस्वी (यह अमेरिका के नेतृत्व वाले गठबंधन द्वारा इराक पर आक्रमण के साथ शुरू हुआ था)।

**संक्षेप में क्रम:**
कैटालोनियन मैदानों का युद्ध (451) → बद्र का युद्ध (624) → कोसोवो का युद्ध (1389) → दूसरा बोअर युद्ध (1899) → इराक युद्ध (2003)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इस्सस का युद्ध, मॉस्को का युद्ध, निकोपोलिस का युद्ध, दूसरा बोअर युद्ध, कुलिकोवो का युद्ध","इन घटनाओं का सही कालानुक्रमिक क्रम (सबसे पुरानी से सबसे नई) इस प्रकार है:

1. **इस्सस का युद्ध (Battle of Issus) - 333 ईसा पूर्व (BCE):** यह सिकंदर महान और फारस के राजा डेरियस तृतीय के बीच लड़ा गया था।
2. **कुलिकोवो का युद्ध (Battle of Kulikovo) - 1380 ईस्वी (CE):** यह युद्ध गोल्डन होर्डे (मंगोल) और विभिन्न रूसी रियासतों के बीच लड़ा गया था।
3. **निकोपोलिस का युद्ध (Battle of Nicopolis) - 1396 ईस्वी (CE):** इसे निकोपोलिस का धर्मयुद्ध भी कहा जाता है, जो ऑटोमन साम्राज्य और हंगरी-फ्रांसीसी गठबंधन के बीच हुआ था।
4. **दूसरा बोअर युद्ध (Second Boer War) - 1899–1902 ईस्वी (CE):** यह ब्रिटिश साम्राज्य और दक्षिण अफ्रीका के दो स्वतंत्र बोअर गणराज्यों के बीच लड़ा गया था।
5. **मॉस्को का युद्ध (Battle of Moscow) - 1941–1942 ईस्वी (CE):** यह द्वितीय विश्व युद्ध के दौरान सोवियत संघ और नाजी जर्मनी के बीच लड़ा गया एक महत्वपूर्ण युद्ध था।

**संक्षेप में क्रम:**
इस्सस का युद्ध (333 ईसा पूर्व) **→** कुलिकोवो का युद्ध (1380) **→** निकोपोलिस का युद्ध (1396) **→** दूसरा बोअर युद्ध (1899) **→** मॉस्को का युद्ध (1941)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कर्बला का युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, काबुल का पतन, प्लाटिया का युद्ध, वियना का युद्ध","इन घटनाओं का सही कालानुक्रमिक क्रम (सबसे पुरानी से सबसे नई घटना) इस प्रकार है:

1. **प्लाटिया का युद्ध (Battle of Plataea):** 479 ईसा पूर्व (ईसा पूर्व ग्रीको-फारसी युद्धों के दौरान)।
2. **कर्बला का युद्ध (Battle of Karbala):** 680 ईस्वी (इस्लामी इतिहास की एक महत्वपूर्ण घटना)।
3. **वियना का युद्ध (Battle of Vienna):** 1683 ईस्वी (ओटोमन साम्राज्य और यूरोपीय गठबंधन के बीच)।
4. **दूसरा नागोर्नो-काराबाख युद्ध (Second Nagorno-Karabakh War):** 2020 ईस्वी (आर्मेनिया और अजरबैजान के बीच)।
5. **काबुल का पतन (Fall of Kabul):** 2021 ईस्वी (तालिबान द्वारा काबुल पर नियंत्रण)।

**संक्षेप में क्रम:**
प्लाटिया का युद्ध (479 BC) → कर्बला का युद्ध (680 AD) → वियना का युद्ध (1683 AD) → दूसरा नागोर्नो-काराबाख युद्ध (2020 AD) → काबुल का पतन (2021 AD)।"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्लासी का युद्ध, ऐन जलुत का युद्ध, थर्मोपाइले का युद्ध, प्लाटिया का युद्ध, उहुद का युद्ध","इन ऐतिहासिक घटनाओं का सही कालानुक्रमिक क्रम (पुराने से नए की ओर) इस प्रकार है:

1.  **थर्मोपाइले का युद्ध (Battle of Thermopylae) - 480 ईसा पूर्व (BCE):** यह युद्ध यूनानी नगर-राज्यों और फारसी साम्राज्य के बीच हुआ था।
2.  **प्लाटिया का युद्ध (Battle of Plataea) - 479 ईसा पूर्व (BCE):** यह फारस के यूनान पर दूसरे आक्रमण के दौरान अंतिम भूमि युद्ध था।
3.  **उहुद का युद्ध (Battle of Uhud) - 625 ईस्वी (CE):** यह पैगंबर मोहम्मद के नेतृत्व में मुसलमानों और मक्का के कुरैश के बीच लड़ा गया था।
4.  **ऐन जलुत का युद्ध (Battle of Ain Jalut) - 1260 ईस्वी (CE):** यह युद्ध मिस्र के ममलूकों और मंगोल साम्राज्य के बीच हुआ था।
5.  **प्लासी का युद्ध (Battle of Plassey) - 1757 ईस्वी (CE):** यह युद्ध ब्रिटिश ईस्ट इंडिया कंपनी और बंगाल के नवाब सिराजुद्दौला के बीच लड़ा गया था।

**संक्षिप्त क्रम:**
थर्मोपाइले (480 BC) → प्लाटिया (479 BC) → उहुद (625 AD) → ऐन जलुत (1260 AD) → प्लासी (1757 AD)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: स्टैमफोर्ड ब्रिज का युद्ध, काबुल का पतन, व्हाइट माउंटेन का युद्ध, प्लासी का युद्ध, वर्ना का युद्ध","इन घटनाओं का सही कालानुक्रमिक (Chronological) क्रम इस प्रकार है:

1.  **स्टैमफोर्ड ब्रिज का युद्ध (Battle of Stamford Bridge) – 1066 ई.**
    यह युद्ध इंग्लैंड में एंग्लो-सैक्सन सेना और नॉर्वेजियन आक्रमणकारियों के बीच लड़ा गया था।

2.  **वर्ना का युद्ध (Battle of Varna) – 1444 ई.**
    यह युद्ध उस्मानी साम्राज्य (Ottoman Empire) और यूरोपीय ईसाई देशों के गठबंधन के बीच लड़ा गया था।

3.  **काबुल का पतन (Fall of Kabul) – 1504 ई.**
    बाबर ने 1504 में काबुल पर विजय प्राप्त की थी, जिसने भारत में मुगल साम्राज्य की नींव रखने के लिए आधार तैयार किया।

4.  **व्हाइट माउंटेन का युद्ध (Battle of White Mountain) – 1620 ई.**
    यह 'तीस वर्षीय युद्ध' (Thirty Years' War) के शुरुआती चरणों की एक महत्वपूर्ण लड़ाई थी।

5.  **प्लासी का युद्ध (Battle of Plassey) – 1757 ई.**
    यह युद्ध ब्रिटिश ईस्ट इंडिया कंपनी और बंगाल के नवाब सिराजुद्दौला के बीच लड़ा गया था, जिसने भारत में ब्रिटिश शासन की शुरुआत की।

---
**संक्षिप्त क्रम:**
1. स्टैमफोर्ड ब्रिज का युद्ध (1066)
2. वर्ना का युद्ध (1444)
3. काबुल का पतन (1504)
4. व्हाइट माउंटेन का युद्ध (1620)
5. प्लासी का युद्ध (1757)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: 1948 फिलिस्तीन युद्ध, थर्मोपाइले का युद्ध, मैराथन का युद्ध, टुटोबर्ग वन का युद्ध, सात वर्षीय युद्ध","इन घटनाओं का सही कालानुक्रमिक क्रम (सबसे पुराने से सबसे नए) इस प्रकार है:

1.  **मैराथन का युद्ध (Battle of Marathon):** 490 ईसा पूर्व (BC)
2.  **थर्मोपाइले का युद्ध (Battle of Thermopylae):** 480 ईसा पूर्व (BC)
3.  **टुटोबर्ग वन का युद्ध (Battle of the Teutoburg Forest):** 9 ईस्वी (AD)
4.  **सात वर्षीय युद्ध (Seven Years' War):** 1756–1763 ईस्वी (AD)
5.  **1948 फिलिस्तीन युद्ध (1948 Palestine War):** 1948-1949 ईस्वी (AD)"
